event_id,etf_id,ticker,etf_name,issuer_ex_date,krx_apply_date,ex_date,record_date,pay_date,distribution_per_share_krw,distribution_type,event_status,currency,ex_rights_reference_price_krw,issuer_source_id,krx_source_id,issuer_amount_verified,krx_ex_date_verified,verification_status,verification_note,supersedes_event_id,source_collected_at,updated_at
KR7419420005:2026-07-30:ordinary_cash:v1,KR7419420005,419420,KODEX 미국클린에너지나스닥,,2026-07-30,2026-07-30,2026-07-31,2026-08-04,8,ordinary_cash,announced,KRW,9045,issuer:kodex:notice:20260728:monthend,krx:kind:419420:20260729:20260729001258,true,true,verified,운용사 공식 공지의 좌당 분배금과 KRX KIND의 분배락 적용일·기준가격을 종목코드 및 14일 이내 공시-적용일 규칙으로 대조함. 기준일·지급일은 원문 미확보로 공란 유지.,,2026-08-15T06:19:46+00:00,2026-08-15T06:19:46+00:00
KR7441640000:legacy:2026-07-15:ordinary_cash:v1,KR7441640000,441640,KODEX 미국배당커버드콜액티브,,,,2026-07-15,,103,ordinary_cash,announced,KRW,,legacy:e3aa6f873f12d7b0,,false,false,partial,기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지.,,2026-08-13T09:56:19+00:00,2026-08-13T09:56:19+00:00
KR7489030007:2026-07-30:ordinary_cash:v1,KR7489030007,489030,PLUS 고배당주위클리커버드콜,2026-07-30,2026-07-30,2026-07-30,2026-07-31,2026-08-04,103,ordinary_cash,paid,KRW,,issuer:plus:489030:20260728:table,,true,false,partial,운용사 공식 공지의 분배락일 및 KRX 적용일은 2026-07-30으로 대조됨. KIND 원문 연결 전에는 partial 유지.,,2026-08-13T09:55:51+00:00,2026-08-14T07:26:38+00:00
KR7490600004:legacy:2025-08-29:ordinary_cash:v1,KR7490600004,490600,RISE 미국배당100데일리고정커버드콜,,,,2025-08-29,,116,ordinary_cash,announced,KRW,,legacy:4fe9e97fbe7f124e,,false,false,partial,기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지.,,2026-08-13T09:56:19+00:00,2026-08-13T09:56:19+00:00
KR7490600004:legacy:2025-09-30:ordinary_cash:v1,KR7490600004,490600,RISE 미국배당100데일리고정커버드콜,,,,2025-09-30,,120,ordinary_cash,announced,KRW,,legacy:044a5ab6e296e753,,false,false,partial,기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지.,,2026-08-13T09:56:19+00:00,2026-08-13T09:56:19+00:00
KR7490600004:legacy:2025-10-31:ordinary_cash:v1,KR7490600004,490600,RISE 미국배당100데일리고정커버드콜,,,,2025-10-31,,130,ordinary_cash,announced,KRW,,legacy:5f68e50df2d741cd,,false,false,partial,기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지.,,2026-08-13T09:56:19+00:00,2026-08-13T09:56:19+00:00
KR7490600004:legacy:2025-11-28:ordinary_cash:v1,KR7490600004,490600,RISE 미국배당100데일리고정커버드콜,,,,2025-11-28,,120,ordinary_cash,announced,KRW,,legacy:34b6392dc39dcfbb,,false,false,partial,기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지.,,2026-08-13T09:56:19+00:00,2026-08-13T09:56:19+00:00
KR7490600004:legacy:2025-12-30:ordinary_cash:v1,KR7490600004,490600,RISE 미국배당100데일리고정커버드콜,,,,2025-12-30,,115,ordinary_cash,announced,KRW,,legacy:77ef49c7a8af0a37,,false,false,partial,기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지.,,2026-08-13T09:56:19+00:00,2026-08-13T09:56:19+00:00
KR7490600004:legacy:2026-01-30:ordinary_cash:v1,KR7490600004,490600,RISE 미국배당100데일리고정커버드콜,,,,2026-01-30,,99,ordinary_cash,announced,KRW,,legacy:0d4426e0cb52b6f7,,false,false,partial,기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지.,,2026-08-13T09:56:19+00:00,2026-08-13T09:56:19+00:00
KR7490600004:legacy:2026-02-27:ordinary_cash:v1,KR7490600004,490600,RISE 미국배당100데일리고정커버드콜,,,,2026-02-27,,103,ordinary_cash,announced,KRW,,legacy:40a0763fd4e921a5,,false,false,partial,기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지.,,2026-08-13T09:56:19+00:00,2026-08-13T09:56:19+00:00
