순번,ticker,name,aum,asset_class,kofia_fund_type,현재_한도,위험방향,확정_불가_사유
1,458210,KIWOOM CD금리액티브(합성),"148,542,519,635",금리·파킹,혼합채권파생형,100% (안전자산),안전자산_주의,위험평가액 미확인
2,453010,PLUS KOFR금리,"14,724,121,203",금리·파킹,혼합채권파생형,100% (안전자산),안전자산_주의,위험평가액 미확인
3,357870,TIGER CD금리투자KIS(합성),"3,551,439,152,768",금리·파킹,특별자산파생,70% (위험자산),파생_위험자산,원자재/실물 파생 위험평가액 및 기초자산 적격성(금현물 등) 약관 확인 필요
4,477080,RISE CD금리액티브(합성),"1,667,211,533,123",금리·파킹,특별자산파생,70% (위험자산),파생_위험자산,원자재/실물 파생 위험평가액 및 기초자산 적격성(금현물 등) 약관 확인 필요
5,489030,PLUS 고배당주위클리커버드콜,"312,749,099,554",주식-국내,주식파생형,70% (위험자산),파생_위험자산,"안전자산 아님 확정 (약관상 주식 60% 이상, 퇴직연금감독규정 제11조 제1항 제5호 비해당). 파생형 위험평가액 40% 한도 및 추적배수 확인 필요"
6,0198A0,KIWOOM 코스닥150커버드콜액티브,"67,569,238,318",주식-국내,주식파생형,70% (위험자산),파생_위험자산,"안전자산 아님 확정 (약관상 주식 60% 이상, 퇴직연금감독규정 제11조 제1항 제5호 비해당). 파생형 위험평가액 40% 한도 및 추적배수 확인 필요"
7,280930,KODEX 미국러셀2000(H),"23,394,840,000",주식-해외,주식파생형,70% (위험자산),파생_위험자산,"안전자산 아님 확정 (약관상 주식 60% 이상, 퇴직연금감독규정 제11조 제1항 제5호 비해당). 파생형 위험평가액 40% 한도 및 추적배수 확인 필요"
8,290080,RISE 200고배당커버드콜ATM,"13,445,549,705",주식-국내,주식파생형,70% (위험자산),파생_위험자산,"안전자산 아님 확정 (약관상 주식 60% 이상, 퇴직연금감독규정 제11조 제1항 제5호 비해당). 파생형 위험평가액 40% 한도 및 추적배수 확인 필요"
9,181480,ACE 미국부동산리츠(합성 H),"10,048,268,412",리츠·인프라,부동산파생형,70% (위험자산),파생_위험자산,부동산 파생 위험평가액 및 집합투자기구 편입 요건 확인 필요
10,265690,ACE 러시아MSCI(합성),"89,531,793",주식-해외,주식파생형,70% (위험자산),파생_위험자산,"안전자산 아님 확정 (약관상 주식 60% 이상, 퇴직연금감독규정 제11조 제1항 제5호 비해당). 파생형 위험평가액 40% 한도 및 추적배수 확인 필요"
11,0232A0,MIDAS 머니마켓액티브,"104,079,397,621",금리·파킹,미매칭,100% (안전자산),공시_미반영,협회 공시 미반영 (신규 상장 또는 명칭 미일치)
12,0234N0,KIWOOM 삼성SK그룹TOP4+,"19,223,525,316",주식-국내,미매칭,70% (위험자산),공시_미반영,협회 공시 미반영 (신규 상장 또는 명칭 미일치)
13,0233N0,RISE 글로벌AI낸드메모리반도체,"9,962,979,638",주식-해외,미매칭,70% (위험자산),공시_미반영,협회 공시 미반영 (신규 상장 또는 명칭 미일치)
14,0229F0,마이티 신약포커스바이오액티브,"7,015,626,139",주식-국내,미매칭,70% (위험자산),공시_미반영,협회 공시 미반영 (신규 상장 또는 명칭 미일치)
15,360140,KODEX 200롱코스닥150숏선물,"50,008,932,212",주식-국내,주식파생형,불가,일반,장내선물 위험평가액 40% 초과 여부 개별 펀드 파생상품 익스포저(VaR/상계) 확인 필요 (금융투자업규정 제4-54조)
16,0153P0,ACE 리츠부동산인프라액티브,"13,725,223,860",리츠·인프라,부동산,70% (위험자산),일반,"부동산집합투자기구 원칙 편입 불가 (퇴직연금감독규정 제11조 제2항 제4호, 시행령 제240조 단서 확인 필요)"
17,360150,KODEX 코스닥150롱코스피200숏선물,"12,608,997,483",주식-국내,주식파생형,불가,일반,장내선물 위험평가액 40% 초과 여부 개별 펀드 파생상품 익스포저(VaR/상계) 확인 필요 (금융투자업규정 제4-54조)
18,400570,KODEX 유럽탄소배출권선물ICE(H),"12,172,695,988",주식-해외,특별자산파생,불가,일반,장내선물 위험평가액 40% 초과 여부 개별 펀드 파생상품 익스포저(VaR/상계) 확인 필요 (금융투자업규정 제4-54조)
19,316300,ACE 싱가포르리츠,"6,359,155,287",리츠·인프라,부동산,70% (위험자산),일반,"부동산집합투자기구 원칙 편입 불가 (퇴직연금감독규정 제11조 제2항 제4호, 시행령 제240조 단서 확인 필요)"
20,400580,SOL 유럽탄소배출권선물S&P(H),"5,942,614,794",주식-해외,특별자산파생,불가,일반,장내선물 위험평가액 40% 초과 여부 개별 펀드 파생상품 익스포저(VaR/상계) 확인 필요 (금융투자업규정 제4-54조)
